# This is a modified file with test data.
# This file was originall produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
#  It has since been modified.
#  Tue Jul  9 17:39:41 2019
#  User preference: *
kepoi_name,kepler_name,koi_teq
K02047.01,Kepler-1070 b,1101.0
K02047.01,Kepler-1070 b,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K03744.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K04929.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K05052.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K07282.01,,1101.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02086.01,Kepler-60 b,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K02811.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K04702.01,,1102.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00432.01,Kepler-552 b,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K00760.01,,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K01851.01,Kepler-981 b,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K03990.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K07572.01,,1103.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00787.01,Kepler-232 b,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K00831.01,,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01236.02,Kepler-279 b,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01294.01,,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K01665.01,Kepler-923 b,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03699.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K03905.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K05250.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K06161.01,,1104.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K00295.01,Kepler-134 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K01304.01,Kepler-810 b,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K03214.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K05605.01,,1105.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K01794.01,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02220.04,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K02465.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03645.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K03896.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K05243.01,,1106.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K00307.02,Kepler-520 c,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K03020.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K04416.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K06571.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K08041.01,,1107.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02100.01,Kepler-1095 b,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K02204.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K03409.01,,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04288.01,Kepler-1581 b,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K04766.02,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06072.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K06536.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K07835.01,,1108.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K00882.01,,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K01220.01,Kepler-796 b,1109.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K02914.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K03618.01,,1110.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00201.01,Kepler-491 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K00660.01,Kepler-638 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01533.01,Kepler-886 b,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01777.01,,1111.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01665.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K01942.02,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K02840.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K04792.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K05967.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K06162.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K07704.01,,1112.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K01574.04,,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K02614.01,Kepler-1289 b,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06055.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K06967.01,,1113.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K00838.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K01784.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K02590.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K06917.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07070.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K07392.01,,1114.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K00155.01,Kepler-474 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K01202.01,Kepler-787 b,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K04790.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K06342.01,,1115.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K00214.01,Kepler-424 b,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K01597.01,,1116.0
K02111.01,Kepler-360 b,1116.0
K02111.01,Kepler-360 b,1116.0
K02111.01,Kepler-360 b,1116.0
K02111.01,Kepler-360 b,1116.0
K02111.01,Kepler-360 b,1116.0
K02111.01,Kepler-360 b,1116.0
